"rasp1","rasp2","rasp3","rasp4","location"
-72,-64,-87,-65,1.2
-72,-64,-84,-65,1.2
-72,-64,-87,-85,1.2
-72,-64,-84,-85,1.2
-72,-57,-87,-89,1.2
-72,-57,-84,-89,1.2
-72,-57,-87,-65,1.2
-72,-57,-84,-65,1.2
-72,-57,-87,-85,1.2
-72,-57,-84,-85,1.2
-72,-57,-87,-89,1.2
-72,-57,-84,-89,1.2
-72,-57,-87,-65,1.2
-72,-57,-84,-65,1.2
-72,-57,-87,-85,1.2
-72,-57,-84,-85,1.2
-72,-57,-85,-86,1.2
-72,-57,-85,-86,1.2
-72,-57,-85,-88,1.2
-72,-57,-85,-88,1.2
-72,-57,-85,-91,1.2
-72,-57,-85,-91,1.2
-72,-57,-85,-86,1.2
-72,-57,-85,-86,1.2
-72,-57,-85,-88,1.2
-72,-57,-85,-88,1.2
-72,-57,-85,-91,1.2
-72,-57,-85,-91,1.2
-72,-56,-85,-86,1.2
-72,-56,-85,-86,1.2
-72,-56,-85,-88,1.2
-72,-56,-85,-88,1.2
-72,-56,-85,-91,1.2
-72,-56,-85,-91,1.2
-72,-56,-83,-85,1.2
-72,-56,-83,-85,1.2
-72,-57,-83,-85,1.2
-72,-57,-83,-85,1.2
-73,-56,-81,-84,1.2
-73,-56,-81,-84,1.2
-73,-56,-81,-84,1.2
-73,-56,-81,-84,1.2
-73,-56,-81,-84,1.2
-73,-56,-81,-84,1.2
-72,-57,-82,-88,1.2
-72,-57,-84,-88,1.2
-72,-57,-82,-92,1.2
-72,-57,-84,-92,1.2
-72,-57,-82,-88,1.2
-72,-57,-84,-88,1.2
-72,-57,-82,-92,1.2
-72,-57,-84,-92,1.2
-72,-57,-82,-88,1.2
-72,-57,-84,-88,1.2
-72,-57,-82,-92,1.2
-72,-57,-84,-92,1.2
-72,-59,-83,-85,1.2
-72,-59,-84,-85,1.2
-72,-59,-83,-87,1.2
-72,-59,-84,-87,1.2
-72,-56,-83,-85,1.2
-72,-56,-84,-85,1.2
-72,-56,-83,-87,1.2
-72,-56,-84,-87,1.2
-72,-57,-83,-85,1.2
-72,-57,-84,-85,1.2
-72,-57,-83,-87,1.2
-72,-57,-84,-87,1.2
-72,-56,-83,-85,1.2
-72,-56,-83,-85,1.2
-72,-57,-83,-85,1.2
-72,-57,-83,-85,1.2
-72,-57,-86,-85,1.2
-72,-56,-86,-85,1.2
-73,-58,-84,-65,1.2
-73,-58,-84,-86,1.2
-73,-57,-84,-65,1.2
-73,-57,-84,-86,1.2
-71,-57,-85,-65,1.2
-71,-57,-84,-65,1.2
-71,-57,-85,-89,1.2
-71,-57,-84,-89,1.2
-71,-57,-85,-89,1.2
-71,-57,-84,-89,1.2
-71,-57,-85,-65,1.2
-71,-57,-84,-65,1.2
-71,-57,-85,-89,1.2
-71,-57,-84,-89,1.2
-71,-57,-85,-89,1.2
-71,-57,-84,-89,1.2
-71,-56,-85,-65,1.2
-71,-56,-84,-65,1.2
-71,-56,-85,-89,1.2
-71,-56,-84,-89,1.2
-71,-56,-85,-89,1.2
-71,-56,-84,-89,1.2
-72,-58,-84,-88,1.2
-72,-58,-84,-88,1.2
-72,-58,-84,-85,1.2
-72,-58,-84,-85,1.2
-72,-58,-84,-84,1.2
-72,-58,-84,-84,1.2
-72,-56,-84,-88,1.2
-72,-56,-84,-88,1.2
-72,-56,-84,-85,1.2
-72,-56,-84,-85,1.2
-72,-56,-84,-84,1.2
-72,-56,-84,-84,1.2
-72,-58,-84,-88,1.2
-72,-58,-84,-88,1.2
-72,-58,-84,-85,1.2
-72,-58,-84,-85,1.2
-72,-58,-84,-84,1.2
-72,-58,-84,-84,1.2
-72,-58,-82,-86,1.2
-72,-58,-88,-86,1.2
-72,-58,-82,-86,1.2
-72,-58,-88,-86,1.2
-72,-56,-82,-86,1.2
-72,-56,-88,-86,1.2
-72,-56,-82,-86,1.2
-72,-56,-88,-86,1.2
-72,-57,-81,-88,1.2
-72,-57,-83,-88,1.2
-72,-57,-81,-87,1.2
-72,-57,-83,-87,1.2
-72,-59,-81,-88,1.2
-72,-59,-83,-88,1.2
-72,-59,-81,-87,1.2
-72,-59,-83,-87,1.2
-72,-56,-83,-84,1.2
-72,-56,-84,-84,1.2
-72,-56,-83,-89,1.2
-72,-56,-84,-89,1.2
-72,-56,-85,-85,1.2
-72,-56,-85,-85,1.2
-72,-56,-82,-85,1.2
-72,-56,-85,-84,1.2
-72,-56,-85,-84,1.2
-72,-56,-82,-84,1.2
-72,-56,-85,-85,1.2
-72,-56,-85,-85,1.2
-72,-56,-82,-85,1.2
-71,-57,-82,-86,1.2
-71,-57,-82,-86,1.2
-71,-57,-81,-86,1.2
-71,-57,-82,-87,1.2
-71,-57,-82,-87,1.2
-71,-57,-81,-87,1.2
-71,-57,-82,-87,1.2
-71,-57,-82,-87,1.2
-71,-57,-81,-87,1.2
-72,-59,-83,-84,1.2
-72,-59,-84,-84,1.2
-72,-59,-83,-85,1.2
-72,-59,-84,-85,1.2
-72,-68,-81,-89,1.2
-72,-67,-82,-84,1.2
-72,-67,-82,-84,1.2
-73,-57,-82,-85,1.2
